loan_amount,interest_rate,term_months,start_date,end_date,borrower_age,borrower_income,credit_score,defaulted,is_simulated_anomaly
38672,0.1405,12,2022-02-12,2023-02-07,24,26187,848,0,0
72460,0.1012,36,2024-11-30,2027-11-15,19,38939,406,1,0
43814,0.1191,24,2021-04-22,2023-04-12,34,90238,501,0,0
10899,0.0379,12,2022-11-02,2023-10-28,23,116358,440,0,0
3327,0.0724,60,2021-04-04,2026-03-09,33,52855,540,0,0
54960,0.0579,36,2021-02-26,2024-02-11,20,108190,388,1,0
68854,0.0565,60,2024-12-01,2029-11-05,31,46010,376,0,0
8902,0.1082,12,2022-12-14,2023-12-09,19,67967,365,1,0
25819,0.034,60,2025-01-17,2029-12-22,18,29400,366,1,0
6129,0.1335,12,2020-11-28,2021-11-23,62,68475,726,0,0
49342,0.0853,60,2022-06-24,2027-05-29,26,40708,809,0,0
51770,0.1072,36,2021-11-04,2024-10-19,61,123564,837,0,0
68964,0.1187,36,2024-05-02,2027-04-17,48,51941,526,0,0
7661,0.134,48,2022-11-10,2026-10-20,61,61276,394,1,0
73387,0.1034,48,2021-12-09,2025-11-18,40,34403,447,1,0
39241,0.0562,24,2022-04-13,2024-04-02,52,54356,703,0,0
52970,0.1291,36,2021-08-03,2024-07-18,33,145426,815,0,0
4728,0.1268,48,2025-10-14,2029-09-23,27,60682,500,0,0
69240,0.0557,48,2025-01-01,2028-12-11,64,40497,453,1,0
20033,0.1459,48,2021-04-07,2025-03-17,45,132537,836,0,0
34502,0.1188,12,2023-10-30,2024-10-24,25,41274,375,0,0
34299,0.1352,12,2020-11-18,2021-11-13,62,122622,506,1,0
73561,0.1273,60,2022-10-24,2027-09-28,67,103340,710,0,0
51897,0.0315,36,2025-06-02,2028-05-17,67,73238,419,0,0
42591,0.1069,12,2023-10-03,2024-09-27,26,106492,519,1,0
62416,0.0683,36,2025-01-19,2028-01-04,39,64241,481,1,0
65931,0.1477,12,2021-01-16,2022-01-11,26,44621,542,0,0
39070,0.0902,24,2025-06-28,2027-06-18,67,113030,556,0,0
17852,0.1311,48,2022-10-08,2026-09-17,47,104273,558,1,0
32077,0.1348,12,2022-06-08,2023-06-03,50,124138,552,1,0
55398,0.1258,36,2022-03-07,2025-02-19,28,141501,588,0,0
67804,0.0595,24,2021-05-29,2023-05-19,60,112419,613,0,0
73040,0.0844,24,2021-06-20,2023-06-10,69,65024,541,0,0
45436,0.1386,36,2023-04-28,2026-04-12,29,132688,745,0,0
6692,0.0971,36,2023-10-10,2026-09-24,45,107116,658,0,0
72939,0.1417,12,2025-03-12,2026-03-07,61,68507,835,1,0
56209,0.1195,60,2023-07-31,2028-07-04,60,137947,750,0,0
37673,0.1322,48,2024-10-22,2028-10-01,53,133278,612,0,0
56253,0.1069,24,2021-09-28,2023-09-18,42,70333,801,0,0
64901,0.0758,36,2021-04-20,2024-04-04,62,118351,782,0,0
58763,0.1466,24,2025-06-02,2027-05-23,24,71919,811,0,0
44805,0.1158,48,2024-07-11,2028-06-20,59,134275,666,1,0
59787,0.0844,36,2025-06-03,2028-05-18,47,101421,720,0,0
2459,0.077,60,2025-05-04,2030-04-08,38,22812,738,0,0
5229,0.1231,60,2024-09-28,2029-09-02,41,52307,690,0,0
8700,0.0874,24,2024-01-17,2026-01-06,34,136884,479,0,0
23209,0.1078,12,2024-09-23,2025-09-18,61,53674,455,0,0
16179,0.1476,12,2021-11-15,2022-11-10,30,21975,600,0,0
38055,0.0865,48,2021-03-15,2025-02-22,37,100558,662,0,0
26712,0.0827,48,2021-10-25,2025-10-04,65,125709,842,0,0
40955,0.1295,36,2025-02-02,2028-01-18,63,30852,671,0,0
7986,0.0534,12,2020-11-11,2021-11-06,56,103370,686,0,0
21977,0.0467,36,2022-07-24,2025-07-08,64,74419,411,0,0
61808,0.0703,24,2022-10-31,2024-10-20,30,40419,644,0,0
47329,0.0518,12,2024-12-30,2025-12-25,29,103891,483,1,0
21307,0.0433,48,2024-07-18,2028-06-27,30,95322,612,1,0
22403,0.1102,48,2021-02-05,2025-01-15,37,93825,441,0,0
37637,0.1006,24,2025-08-02,2027-07-23,53,132622,638,0,0
38737,0.0448,36,2021-09-16,2024-08-31,20,72592,599,1,0
53363,0.1119,24,2023-09-18,2025-09-07,59,29721,461,0,0
6413,0.0317,48,2025-04-16,2029-03-26,42,44963,617,0,0
38554,0.1339,36,2025-09-05,2028-08-20,45,57620,745,0,0
50599,0.1126,24,2023-09-29,2025-09-18,60,89177,316,1,0
5614,0.0451,12,2021-08-13,2022-08-08,38,29694,342,1,0
23196,0.0752,24,2021-04-15,2023-04-05,47,147946,401,1,0
68141,0.1309,36,2023-05-25,2026-05-09,42,81160,506,0,0
58876,0.1407,12,2022-06-07,2023-06-02,29,143546,506,0,0
41338,0.1341,24,2022-12-10,2024-11-29,46,29050,595,1,0
33004,0.0653,12,2021-07-18,2022-07-13,30,46010,732,0,0
23983,0.04,48,2023-03-19,2027-02-26,36,62125,463,1,0
41240,0.0344,12,2023-02-01,2024-01-27,18,122525,432,1,0
20416,0.0682,60,2023-01-11,2027-12-16,36,64034,594,0,0
58161,0.1194,12,2022-09-24,2023-09-19,38,66428,430,1,0
14643,0.0457,24,2021-01-09,2022-12-30,25,92517,733,0,0
44229,0.1062,60,2024-11-21,2029-10-26,46,55530,765,1,0
67931,0.0597,36,2021-08-11,2024-07-26,21,68785,454,1,0
71393,0.063,60,2020-11-20,2025-10-25,28,35781,492,1,0
65020,0.0655,36,2021-06-12,2024-05-27,32,42644,797,1,0
-38170,0.0808,60,2022-04-28,2027-04-02,34,93333,722,0,1
33844,0.1381,36,2023-05-11,2026-04-25,49,106625,456,1,0
9350,0.0503,48,2025-10-05,2029-09-14,66,45599,591,0,0
16715,0.1022,48,2023-04-25,2027-04-04,63,55561,731,1,0
8841,0.1184,36,2024-03-23,2027-03-08,69,69751,505,0,0
27917,0.1031,60,2021-08-09,2026-07-14,20,116590,668,0,0
41544,0.0909,60,2023-01-14,2027-12-19,34,35157,447,1,0
55532,0.0351,36,2025-10-10,2028-09-24,55,116656,662,0,0
33663,0.0839,48,2022-04-28,2026-04-07,65,101451,684,0,0
52853,0.0679,60,2022-04-14,2027-03-19,29,99558,622,0,0
27360,0.0416,24,2021-12-16,2023-12-06,56,93437,407,1,0
53543,0.1406,48,2024-05-12,2028-04-21,25,134126,816,0,0
68619,0.0685,36,2021-12-03,2024-11-17,53,142109,686,0,0
18119,0.138,60,2022-03-31,2027-03-05,38,2973069,506,1,1
65531,0.0541,60,2021-10-04,2026-09-08,42,99276,619,0,0
64796,0.1422,60,2023-05-12,2028-04-15,52,75517,741,0,0
53740,0.0863,12,2021-09-05,2022-08-31,30,101824,400,0,0
62195,0.086,48,2022-03-16,2026-02-23,22,129987,450,1,0
14493,0.1153,36,2022-02-26,2025-02-10,54,117831,371,0,0
73137,0.0603,36,2024-02-25,2027-02-09,45,83525,711,1,0
60263,0.0508,48,2022-01-13,2025-12-23,22,138040,434,0,0
41962,0.0863,60,2022-10-21,2027-09-25,18,2468313,810,0,1
35519,0.0343,12,2024-05-22,2025-05-17,21,137282,373,1,0
69243,0.0474,12,2023-07-11,2024-07-05,30,136614,649,0,0
50686,0.1362,12,2025-04-10,2026-04-05,64,130557,833,0,0
53819,0.0508,24,2024-07-07,2026-06-27,64,32097,472,1,0
36084,0.1425,12,2025-01-24,2026-01-19,49,42300,382,1,0
1432,0.1084,36,2023-05-04,2026-04-18,25,136863,783,0,0
33014,0.0876,36,2025-02-21,2028-02-06,59,130833,566,0,0
44669,0.0658,24,2022-01-06,2023-12-27,43,135546,726,0,0
54664,0.0683,36,2022-04-22,2025-04-06,56,59384,330,0,0
48116,0.0323,48,2023-04-05,2027-03-15,33,27624,521,1,0
72846,0.1255,12,2021-11-20,2022-11-15,60,92246,786,0,0
43383,0.1249,60,2025-02-20,2030-01-25,56,99967,762,0,0
60036,0.1009,60,2022-02-21,2027-01-26,24,101951,470,0,0
23286,0.0565,24,2025-07-24,2027-07-14,39,147846,834,0,0
37709,0.0767,48,2022-03-03,2026-02-10,32,29803,398,0,0
3825,0.1256,12,2023-03-28,2024-03-22,59,98899,362,0,0
18061,0.1178,24,2021-07-10,2021-06-10,20,59704,719,0,1
7162,0.0436,48,2024-08-25,2028-08-04,36,43268,527,0,0
1776,0.0794,24,2025-06-28,2027-06-18,37,146723,480,1,0
33905,0.1038,48,2022-08-29,2022-07-30,19,98205,554,0,1
-51734,0.1457,12,2024-05-11,2025-05-06,64,66487,756,0,1
49263,0.0341,12,2023-05-28,2024-05-22,24,25020,651,0,0
13760,0.0915,48,2021-11-20,2025-10-30,47,59055,692,0,0
66718,0.0865,24,2023-02-16,2025-02-05,31,140482,313,1,0
43571,0.1193,24,2021-08-10,2023-07-31,58,45844,484,0,0
1254,0.1052,24,2022-11-23,2024-11-12,34,134791,408,1,0
74326,0.1461,36,2025-07-17,2028-07-01,58,135591,498,0,0
58391,0.0805,24,2021-01-23,2023-01-13,53,137998,812,0,0
48975,0.1455,60,2022-10-28,2027-10-02,33,147311,783,0,0
35808,0.0952,36,2023-03-12,2026-02-24,57,75880,447,1,0
-38289,0.0577,24,2023-04-11,2025-03-31,48,73133,312,1,1
21436,0.0776,12,2022-02-04,2023-01-30,63,116457,638,0,0
42472,0.0326,60,2022-03-01,2027-02-03,69,73663,749,0,0
20022,0.0506,60,2020-11-28,2025-11-02,28,83514,562,1,0
12305,0.0924,12,2021-12-12,2022-12-07,40,51360,808,0,0
61846,0.1473,24,2024-05-20,2026-05-10,45,63577,495,1,0
47972,0.1012,36,2022-12-16,2025-11-30,25,131848,549,1,0
46103,0.083,60,2024-11-25,2029-10-30,43,123288,437,0,0
64683,0.0916,60,2023-11-26,2028-10-30,23,63145,541,1,0
60415,0.0852,60,2023-03-21,2028-02-23,35,133567,424,1,0
14780,0.1228,48,2024-01-25,2028-01-04,23,63574,301,1,0
8410,0.0765,36,2024-01-31,2027-01-15,42,96194,388,0,0
54235,0.1261,60,2023-01-24,2027-12-29,33,92365,437,0,0
1858,0.1325,60,2023-05-19,2028-04-22,26,147416,502,1,0
22805,0.0486,24,2024-03-03,2026-02-21,19,96134,838,0,0
13020,0.1093,60,2024-01-22,2028-12-26,66,21532,649,0,0
57986,0.1313,48,2021-07-27,2025-07-06,21,24787,845,1,0
25483,0.1249,12,2023-09-15,2024-09-09,49,34707,615,0,0
12244,0.1131,48,2024-11-26,2028-11-05,23,121791,664,0,0
50242,0.0516,60,2024-08-18,2029-07-23,27,56092,637,1,0
47841,0.1215,48,2021-11-22,2025-11-01,36,148788,336,0,0
56252,0.0577,36,2021-05-18,2024-05-02,65,74368,785,0,0
65648,0.0872,12,2022-03-07,2023-03-02,23,117839,646,0,0
50045,0.0653,12,2022-01-13,2023-01-08,59,117654,477,0,0
71184,0.1227,48,2020-12-30,2024-12-09,45,42776,760,0,0
11386,0.1294,12,2021-08-06,2022-08-01,60,26464,737,0,0
35843,0.1016,36,2022-07-05,2025-06-19,50,93726,707,1,0
32212,0.1316,24,2025-01-22,2027-01-12,32,70300,488,1,0
29675,0.1333,24,2025-01-03,2026-12-24,30,141097,677,0,0
71049,0.0682,24,2023-12-13,2025-12-02,62,62098,309,1,0
1210,0.0757,36,2021-08-29,2024-08-13,66,111918,436,1,0
8171,0.8658,48,2021-11-16,2025-10-26,39,128647,749,0,1
63997,0.058,24,2023-01-09,2024-12-29,42,30399,820,0,0
28578,0.0606,36,2021-03-10,2024-02-23,65,61780,459,1,0
10896,0.1491,12,2020-11-25,2021-11-20,61,76482,752,0,0
36336,0.1357,48,2020-10-25,2024-10-04,63,129267,720,0,0
50100,0.0476,12,2022-02-11,2023-02-06,37,54214,570,1,0
65476,0.0658,24,2025-03-08,2027-02-26,66,61472,331,1,0
51599,0.1358,48,2023-05-31,2027-05-10,32,39132,772,0,0
8933,0.0606,24,2023-10-27,2025-10-16,21,104902,838,0,0
40018,0.0438,12,2021-08-12,2022-08-07,47,119686,690,0,0
56264,0.1424,48,2021-02-24,2025-02-03,25,34401,661,0,0
25737,0.0531,24,2023-01-17,2025-01-06,37,126469,555,0,0
54210,0.1362,48,2024-03-12,2028-02-20,23,49537,777,0,0
30392,0.0305,48,2021-02-06,2025-01-16,28,126140,684,0,0
24884,0.0365,24,2022-09-22,2024-09-11,68,61705,648,0,0
2881,0.1096,24,2023-10-29,2025-10-18,41,135842,312,0,0
30892,0.0383,48,2021-01-05,2024-12-15,49,78636,512,0,0
68982,0.0659,12,2021-04-25,2022-04-20,29,127078,557,0,0
16883,0.1008,60,2024-05-27,2029-05-01,32,142978,497,0,0
14578,0.0487,24,2024-03-30,2026-03-20,48,80244,776,0,0
18802,0.0797,36,2020-10-26,2023-10-11,56,110538,739,0,0
51875,0.1382,48,2023-01-21,2026-12-31,49,104479,356,1,0
13514,0.0868,24,2021-07-04,2023-06-24,54,136411,731,0,0
48457,0.1396,12,2024-10-11,2025-10-06,24,141920,427,1,0
49015,0.1154,48,2020-12-29,2024-12-08,25,130165,483,1,0
3930,0.1273,24,2021-03-15,2021-02-13,18,124671,729,0,1
26259,0.1077,36,2025-06-14,2028-05-29,50,135836,452,0,0
52966,0.0662,48,2021-10-16,2025-09-25,32,94187,593,0,0
41049,0.1017,60,2025-01-10,2029-12-15,65,41322,756,0,0
64392,0.0913,12,2021-02-19,2022-02-14,67,66625,451,1,0
37838,0.0995,48,2021-12-17,2025-11-26,47,132907,835,0,0
32715,0.0765,36,2021-06-06,2024-05-21,69,28876,319,1,0
14047,0.1024,60,2024-04-29,2029-04-03,36,22450,656,1,0
51596,0.0426,60,2025-09-13,2030-08-18,34,63421,569,1,0
65844,0.1406,60,2025-04-14,2030-03-19,46,95607,402,1,0
40038,0.1374,12,2021-04-08,2022-04-03,60,105033,328,1,0
21840,0.1457,36,2025-04-13,2028-03-28,58,43258,732,0,0
60546,0.0359,48,2025-02-04,2029-01-14,59,54252,481,1,0
50384,0.0321,12,2022-03-09,2023-03-04,59,44171,358,1,0
24079,0.1413,12,2021-07-19,2022-07-14,22,94136,615,1,0
31411,0.0321,36,2025-10-15,2028-09-29,50,48943,531,1,0
61271,0.1397,48,2023-07-22,2027-07-01,26,66698,317,1,0
36558,0.0747,60,2021-05-02,2026-04-06,52,78808,327,1,0
41022,0.0864,12,2025-04-09,2026-04-04,52,130649,722,0,0
13219,0.0351,24,2025-09-28,2027-09-18,36,100033,681,0,0
32605,0.0323,24,2022-08-17,2024-08-06,27,80128,817,0,0
72677,0.0376,48,2025-08-17,2029-07-27,44,141226,401,0,0
56437,0.1366,60,2023-05-25,2028-04-28,27,71277,525,0,0
50189,0.087,48,2025-05-27,2029-05-06,69,81493,544,1,0
45772,0.0812,12,2022-04-09,2023-04-04,68,58542,633,0,0
9958,0.0544,60,2020-10-27,2025-10-01,60,145310,360,1,0
24586,0.1176,48,2021-04-12,2025-03-22,65,109142,401,0,0
68900,0.0396,48,2025-06-11,2029-05-21,53,80093,525,0,0
42968,0.1187,12,2021-09-29,2022-09-24,24,117047,789,0,0
3465,0.1465,12,2021-08-14,2022-08-09,69,96709,455,1,0
57011,0.1146,24,2024-01-29,2026-01-18,50,145088,656,0,0
21685,0.7271,12,2023-12-02,2024-11-26,67,91569,501,0,1
55683,0.5121,60,2022-08-03,2027-07-08,56,39562,554,1,1
71895,0.1293,12,2022-08-12,2023-08-07,23,35857,808,0,0
41625,0.1363,60,2021-06-12,2026-05-17,28,83448,729,1,0
74874,0.0952,24,2021-12-06,2023-11-26,35,97721,819,0,0
29835,0.102,36,2023-08-03,2026-07-18,58,77102,639,0,0
51678,0.1149,48,2024-05-21,2028-04-30,63,134669,598,0,0
48778,0.1445,36,2022-01-12,2024-12-27,25,26562,395,1,0
43567,0.14,24,2023-12-31,2025-12-20,65,36099,792,0,0
29560,0.0308,12,2024-03-16,2025-03-11,33,72376,841,0,0
24278,0.1286,24,2025-05-24,2027-05-14,43,88939,597,0,0
16897,0.1321,48,2024-11-20,2028-10-30,23,40992,646,0,0
44953,0.0407,48,2021-12-14,2025-11-23,28,106531,807,0,0
12664,0.0596,60,2025-07-31,2030-07-05,22,119052,556,0,0
57715,0.0399,48,2021-04-23,2025-04-02,37,76790,546,0,0
54300,0.1127,12,2022-05-02,2023-04-27,66,76909,347,1,0
60914,0.0454,60,2023-02-03,2028-01-08,44,51677,823,1,0
53206,0.144,48,2022-12-16,2026-11-25,64,137581,340,1,0
66482,0.0842,12,2022-09-27,2023-09-22,58,75726,530,1,0
11397,0.1221,24,2023-11-27,2025-11-16,46,109401,610,1,0
50067,0.0798,48,2023-08-02,2027-07-12,41,55332,642,0,0
4530,0.1245,60,2020-11-25,2025-10-30,58,79102,563,0,0
20385,0.0934,48,2023-01-25,2027-01-04,58,47079,335,0,0
57182,0.0928,36,2021-05-15,2024-04-29,68,102229,632,0,0
41946,0.1063,60,2022-06-01,2027-05-06,31,73894,751,0,0
32276,0.0358,12,2022-12-11,2023-12-06,24,123852,301,1,0
44362,0.1432,36,2023-07-06,2026-06-20,49,49939,311,1,0
5462,0.0876,60,2024-06-16,2029-05-21,50,93336,770,0,0
37421,0.0969,36,2022-01-10,2024-12-25,53,103997,336,0,0
31031,0.0987,60,2024-01-17,2028-12-21,60,4789188,381,1,1
52170,0.1499,60,2023-11-18,2028-10-22,20,20930,803,0,0
66783,0.1097,48,2022-06-14,2026-05-24,22,97876,494,1,0
43629,0.1195,24,2022-11-10,2024-10-30,21,147503,670,0,0
51882,0.0766,48,2022-07-08,2026-06-17,60,38825,701,0,0
47107,0.0777,48,2025-02-19,2029-01-29,47,82846,724,0,0
58417,0.0818,48,2023-04-15,2027-03-25,40,1387513,447,1,1
6072,0.0951,48,2024-08-31,2028-08-10,19,52998,686,0,0
35851,0.048,36,2023-04-07,2026-03-22,31,66486,736,0,0
-25312,0.0634,12,2024-06-13,2025-06-08,66,112069,631,0,1
32895,0.1199,24,2024-11-16,2026-11-06,24,149779,520,1,0
14621,0.0854,60,2022-10-06,2027-09-10,53,75776,632,1,0
69517,0.0345,36,2024-03-06,2027-02-19,68,96509,614,0,0
41250,0.1329,48,2024-04-05,2028-03-15,69,146856,802,0,0
28481,0.0638,48,2025-06-20,2029-05-30,45,21732,536,1,0
50671,0.1141,24,2025-04-09,2027-03-30,60,85945,788,0,0
35684,0.0702,24,2023-05-15,2025-05-04,65,89829,483,1,0
43698,0.0572,36,2022-01-23,2025-01-07,30,123169,440,1,0
24107,0.0388,48,2023-07-15,2027-06-24,47,52728,484,1,0
39095,0.0514,12,2025-06-08,2026-06-03,24,57550,575,0,0
1956,0.1351,12,2024-01-30,2025-01-24,57,45298,467,0,0
59165,0.0352,12,2022-05-26,2023-05-21,53,146007,648,0,0
71998,0.7232,36,2021-01-17,2024-01-02,56,143610,626,0,1
10590,0.1489,48,2023-04-02,2027-03-12,23,105748,689,0,0
67421,0.0989,48,2021-04-08,2025-03-18,59,47511,504,0,0
20033,0.0658,12,2025-03-11,2026-03-06,45,56486,300,1,0
28660,0.0849,60,2022-11-07,2027-10-12,65,45850,410,1,0
11456,0.0455,60,2025-02-07,2030-01-12,68,92206,697,0,0
69470,0.1006,60,2023-03-01,2028-02-03,51,131723,647,0,0
30717,0.0966,48,2025-08-15,2029-07-25,58,147509,388,1,0
8082,0.0758,60,2024-11-19,2029-10-24,47,74712,494,1,0
67206,0.0927,48,2024-07-08,2028-06-17,52,147501,449,1,0
52889,0.1458,24,2021-03-22,2023-03-12,57,40343,626,0,0
60784,0.1254,36,2021-09-10,2024-08-25,37,45234,523,1,0
23280,0.0955,24,2020-12-05,2022-11-25,61,27365,716,1,0
69694,0.1256,60,2023-07-30,2028-07-03,37,131969,599,0,0
62421,0.1053,12,2022-10-02,2023-09-27,47,104129,601,0,0
13317,0.1149,24,2022-09-10,2024-08-30,40,49499,387,0,0
51541,0.0932,60,2022-07-12,2027-06-16,59,62829,462,1,0
38859,0.0477,24,2020-11-27,2022-11-17,45,21732,772,0,0
13853,0.0846,24,2023-05-23,2025-05-12,31,119678,774,0,0
23672,0.1485,48,2024-02-23,2028-02-02,38,54439,488,0,0
42007,0.1444,60,2024-09-01,2029-08-06,23,52268,712,0,0
71365,0.117,48,2025-09-27,2029-09-06,59,58798,629,0,0
36665,0.0973,24,2021-05-04,2023-04-24,29,30976,699,0,0
26346,0.1102,12,2022-08-16,2023-08-11,68,106396,789,0,0
22730,0.0962,48,2023-04-21,2027-03-31,48,31568,415,0,0
52884,0.1486,60,2022-06-17,2027-05-22,69,31548,418,1,0
14415,0.037,36,2021-04-16,2024-03-31,30,36531,373,1,0
6547,0.108,12,2022-10-11,2023-10-06,44,144218,536,0,0
10742,0.0955,36,2024-11-24,2027-11-09,42,88949,438,1,0
72175,0.137,48,2025-10-18,2029-09-27,68,80437,834,0,0
32977,0.1111,12,2023-07-14,2024-07-08,20,127421,735,1,0
-2495,0.051,24,2021-05-07,2023-04-27,39,62056,353,0,1
15890,0.0541,36,2021-07-02,2024-06-16,35,30374,641,1,0
15650,0.0489,60,2024-12-22,2029-11-26,34,141744,554,0,0
44448,0.1236,60,2024-02-27,2029-01-31,51,111154,375,0,0
18373,0.096,36,2025-08-05,2028-07-20,40,36316,421,1,0
48210,0.0812,48,2021-02-28,2025-02-07,28,96714,569,1,0
40095,0.0581,24,2022-10-19,2024-10-08,26,62910,477,0,0
72372,0.1211,24,2023-05-21,2025-05-10,63,127146,449,0,0
58173,0.1012,60,2022-11-14,2027-10-19,41,55400,385,1,0
61038,0.045,60,2025-08-21,2030-07-26,40,125664,336,1,0
56593,0.0932,24,2024-11-02,2026-10-23,38,77457,317,1,0
55929,0.0886,36,2025-05-06,2028-04-20,64,115740,759,0,0
43473,0.1496,24,2023-07-23,2025-07-12,29,43254,390,1,0
61277,0.1319,12,2024-09-13,2025-09-08,21,149404,502,1,0
61695,0.147,12,2022-09-17,2023-09-12,18,111850,410,0,0
22000,0.1417,48,2025-04-21,2029-03-31,63,121774,686,0,0
43636,0.078,36,2022-05-26,2025-05-10,33,93460,430,0,0
27493,0.0792,12,2024-04-17,2025-04-12,65,67535,567,0,0
24294,0.1359,48,2025-02-01,2029-01-11,50,95470,456,1,0
66721,0.0432,48,2021-11-21,2025-10-31,56,113026,526,1,0
31943,0.1151,48,2021-08-31,2025-08-10,35,129449,665,0,0
72070,0.0864,24,2024-06-27,2026-06-17,61,66492,379,0,0
21083,0.118,60,2021-08-21,2026-07-26,65,41842,544,0,0
5981,0.0746,24,2023-01-17,2025-01-06,54,58586,442,0,0
50820,0.059,36,2021-10-20,2024-10-04,52,54552,409,1,0
50443,0.0653,24,2023-04-13,2025-04-02,65,55270,653,0,0
50446,0.1277,12,2020-11-19,2021-11-14,67,127962,736,0,0
64144,0.0816,60,2025-01-28,2030-01-02,57,110568,696,1,0
74312,0.0918,48,2025-05-11,2029-04-20,19,28483,472,1,0
43426,0.1249,48,2025-07-29,2029-07-08,33,76040,822,0,0
18429,0.0478,24,2024-07-05,2026-06-25,20,72703,823,0,0
66543,0.0952,48,2023-12-27,2027-12-06,18,72101,420,1,0
58890,0.1422,36,2022-02-15,2025-01-30,19,68250,317,1,0
70665,0.048,48,2024-04-19,2024-03-20,43,108703,565,1,1
56062,0.1345,60,2023-12-25,2028-11-28,60,120367,310,0,0
16736,0.1398,36,2025-06-14,2028-05-29,50,132725,772,0,0
62943,0.1056,12,2020-11-24,2021-11-19,69,42403,843,0,0
15435,0.1288,36,2023-12-25,2026-12-09,31,69631,759,0,0
23750,0.0735,36,2025-04-07,2028-03-22,49,119279,812,0,0
60276,0.1264,36,2025-08-26,2028-08-10,42,147295,424,1,0
11722,0.0844,60,2024-04-21,2029-03-26,20,65003,730,0,0
4635,0.0725,12,2025-04-29,2026-04-24,60,76112,370,0,0
52240,0.1052,60,2023-03-21,2028-02-23,58,122228,580,1,0
2877,0.1062,24,2024-12-29,2026-12-19,21,71655,702,1,0
49915,0.122,36,2025-10-11,2028-09-25,33,140827,365,1,0
28400,0.0988,36,2022-11-25,2025-11-09,59,97624,509,0,0
26423,0.1262,12,2021-08-06,2022-08-01,41,22542,634,1,0
25124,0.0636,36,2022-08-27,2025-08-11,50,98731,739,0,0
67057,0.0844,12,2024-07-18,2025-07-13,38,88261,473,1,0
27212,0.0554,36,2024-06-25,2027-06-10,22,43554,649,0,0
55791,0.102,60,2022-05-07,2027-04-11,37,112917,561,0,0
64385,0.1061,24,2021-03-18,2023-03-08,45,127467,352,1,0
73387,0.0567,60,2023-05-22,2028-04-25,20,121364,786,0,0
7678,0.0359,60,2020-12-31,2025-12-05,31,140588,789,0,0
42790,0.0325,12,2023-06-08,2024-06-02,61,98451,392,1,0
3289,0.1195,36,2024-08-30,2027-08-15,26,28211,361,1,0
2371,0.0612,48,2024-09-06,2028-08-16,69,26241,329,0,0
10535,0.134,36,2021-08-20,2024-08-04,49,98647,525,1,0
11885,0.1392,36,2022-06-16,2025-05-31,55,68127,478,0,0
24245,0.0732,60,2023-09-23,2028-08-27,18,126301,725,0,0
23841,0.0371,12,2022-03-14,2023-03-09,20,121220,446,1,0
69080,0.0665,60,2024-09-13,2029-08-18,19,121896,468,0,0
7008,0.0594,12,2021-10-16,2022-10-11,33,43606,682,0,0
57124,0.0953,12,2021-10-22,2022-10-17,20,93571,578,0,0
46541,0.1199,12,2023-10-16,2024-10-10,38,72979,593,1,0
17370,0.09,24,2025-05-16,2027-05-06,21,60520,337,1,0
43505,0.1435,36,2022-11-15,2025-10-30,53,142337,805,0,0
51512,0.0336,60,2024-09-24,2029-08-29,35,112454,544,0,0
10891,0.0463,12,2025-03-21,2026-03-16,60,85531,748,0,0
26813,0.0657,60,2023-06-30,2028-06-03,41,101560,841,0,0
32223,0.0522,60,2022-07-04,2027-06-08,24,118332,738,0,0
13503,0.1424,36,2025-09-05,2028-08-20,55,97832,529,0,0
8598,0.0852,24,2021-09-10,2023-08-31,19,121983,389,0,0
30916,0.1288,12,2023-08-16,2024-08-10,64,63904,459,0,0
5926,0.0843,48,2020-11-06,2024-10-16,65,75426,542,0,0
34817,0.1299,48,2020-11-14,2024-10-24,62,135481,528,1,0
40664,0.0929,24,2024-02-01,2026-01-21,47,39570,679,1,0
63012,0.0639,60,2024-12-03,2029-11-07,22,144061,321,1,0
36461,0.0345,60,2024-04-03,2029-03-08,53,131701,602,0,0
19929,0.1018,48,2023-11-25,2027-11-04,33,1715329,577,0,1
55352,0.0826,12,2022-02-16,2023-02-11,55,55212,651,0,0
68329,0.1377,48,2021-04-05,2025-03-15,30,20348,447,1,0
67442,0.0326,12,2021-10-14,2022-10-09,26,94755,330,1,0
12860,0.0547,48,2022-05-14,2026-04-23,67,78326,335,1,0
34607,0.141,48,2024-06-16,2028-05-26,55,135842,377,0,0
30190,0.1059,48,2025-03-16,2029-02-23,25,93319,614,1,0
53978,0.0613,48,2025-06-15,2029-05-25,38,63235,511,0,0
13698,0.909,60,2021-05-20,2026-04-24,22,109920,310,0,1
68602,0.1176,24,2023-01-26,2025-01-15,24,138652,303,1,0
33808,0.1039,60,2021-08-20,2026-07-25,35,141626,770,0,0
8646,0.0617,60,2022-02-28,2027-02-02,60,61679,349,1,0
4348,0.1404,12,2022-02-05,2023-01-31,45,60989,332,1,0
45871,0.0393,12,2024-02-11,2025-02-05,35,145835,782,0,0
27956,0.1459,24,2022-08-29,2024-08-18,29,69067,629,0,0
19705,0.1356,48,2021-01-07,2024-12-17,57,144811,731,0,0
63018,0.0634,48,2024-07-29,2028-07-08,61,75421,324,1,0
66988,0.0558,60,2024-07-18,2029-06-22,24,112720,616,0,0
1455,0.0393,48,2025-01-18,2028-12-28,18,111914,745,0,0
42214,0.1389,36,2021-11-01,2024-10-16,36,65320,384,1,0
73556,0.0688,48,2024-08-10,2028-07-20,64,126700,480,1,0
